DATE,GDPC1_PCA
1/1/1970,-0.59262
4/1/1970,0.56889
7/1/1970,3.73757
10/1/1970,-4.21816
1/1/1971,11.31463
4/1/1971,2.18208
7/1/1971,3.3328
10/1/1971,0.94646
1/1/1972,7.56122
4/1/1972,9.39285
7/1/1972,3.83141
10/1/1972,6.86796
1/1/1973,10.27283
4/1/1973,4.42623
7/1/1973,-2.08707
10/1/1973,3.85131
1/1/1974,-3.39496
4/1/1974,0.9541
7/1/1974,-3.72728
10/1/1974,-1.54355
1/1/1975,-4.78101
4/1/1975,2.88896
7/1/1975,7.02443
10/1/1975,5.49579
1/1/1976,9.30303
4/1/1976,2.96724
7/1/1976,2.21301
10/1/1976,2.93106
1/1/1977,4.81039
4/1/1977,8.00616
7/1/1977,7.4151
10/1/1977,0.00875
1/1/1978,1.28284
4/1/1978,16.37625
7/1/1978,4.08316
10/1/1978,5.48596
1/1/1979,0.72108
4/1/1979,0.4284
7/1/1979,3.00477
10/1/1979,1.00405
1/1/1980,1.26401
4/1/1980,-7.99065
7/1/1980,-0.47455
10/1/1980,7.67098
1/1/1981,8.07114
4/1/1981,-2.93152
7/1/1981,4.87683
10/1/1981,-4.28747
1/1/1982,-6.07085
4/1/1982,1.83731
7/1/1982,-1.52043
10/1/1982,0.15987
1/1/1983,5.37654
4/1/1983,9.41786
7/1/1983,8.23926
10/1/1983,8.60967
1/1/1984,8.05135
4/1/1984,7.09235
7/1/1984,3.91238
10/1/1984,3.3241
1/1/1985,3.93306
4/1/1985,3.56861
7/1/1985,6.24985
10/1/1985,3.00648
1/1/1986,3.78663
4/1/1986,1.81374
7/1/1986,3.88344
10/1/1986,2.16567
1/1/1987,3.01417
4/1/1987,4.38594
7/1/1987,3.51587
10/1/1987,7.04714
1/1/1988,2.08257
4/1/1988,5.35995
7/1/1988,2.36439
10/1/1988,5.43747
1/1/1989,4.12884
4/1/1989,3.08821
7/1/1989,2.99662
10/1/1989,0.79052
1/1/1990,4.44334
4/1/1990,1.45955
7/1/1990,0.26636
10/1/1990,-3.59209
1/1/1991,-1.85828
4/1/1991,3.15554
7/1/1991,2.03656
10/1/1991,1.4013
1/1/1992,4.87487
4/1/1992,4.40847
7/1/1992,4.01208
10/1/1992,4.23841
1/1/1993,0.67128
4/1/1993,2.35011
7/1/1993,1.92297
10/1/1993,5.55246
1/1/1994,3.93771
4/1/1994,5.53135
7/1/1994,2.35864
10/1/1994,4.66143
1/1/1995,1.42659
4/1/1995,1.19871
7/1/1995,3.44638
10/1/1995,2.74387
1/1/1996,3.02961
4/1/1996,6.84016
7/1/1996,3.63653
10/1/1996,4.21867
1/1/1997,2.60737
4/1/1997,6.81558
7/1/1997,5.09805
10/1/1997,3.47977
1/1/1998,4.05826
4/1/1998,3.75497
7/1/1998,5.10519
10/1/1998,6.62188
1/1/1999,3.83998
4/1/1999,3.11231
7/1/1999,5.34247
10/1/1999,6.97363
1/1/2000,1.45491
4/1/2000,7.52832
7/1/2000,0.53529
10/1/2000,2.51493
1/1/2001,-1.13584
4/1/2001,2.35881
7/1/2001,-1.64985
10/1/2001,1.09394
1/1/2002,3.54421
4/1/2002,2.44503
7/1/2002,1.79018
10/1/2002,0.62073
1/1/2003,2.2376
4/1/2003,3.4857
7/1/2003,6.96784
10/1/2003,4.67237
1/1/2004,2.15214
4/1/2004,3.08333
7/1/2004,3.83527
10/1/2004,4.0673
1/1/2005,4.50192
4/1/2005,1.85907
7/1/2005,3.61329
10/1/2005,2.54988
1/1/2006,5.42827
4/1/2006,0.93808
7/1/2006,0.61997
10/1/2006,3.45125
1/1/2007,0.94531
4/1/2007,2.31126
7/1/2007,2.19086
10/1/2007,2.45363
1/1/2008,-2.27906
4/1/2008,2.0816
7/1/2008,-2.1479
10/1/2008,-8.37835
1/1/2009,-4.41572
4/1/2009,-0.57472
7/1/2009,1.46442
10/1/2009,4.46645
1/1/2010,1.54803
4/1/2010,3.73944
7/1/2010,2.98161
10/1/2010,2.02278
1/1/2011,-0.9583
4/1/2011,2.89071
7/1/2011,-0.11107
10/1/2011,4.7184
1/1/2012,3.16895
4/1/2012,1.73194
7/1/2012,0.54089
10/1/2012,0.45627
1/1/2013,3.59004
4/1/2013,0.4945
7/1/2013,3.17068
10/1/2013,3.23143
1/1/2014,-1.12603
4/1/2014,5.52567
7/1/2014,4.9739
10/1/2014,2.27025
1/1/2015,3.17643
4/1/2015,2.99858
7/1/2015,1.3292
10/1/2015,0.13017
1/1/2016,2.02882
4/1/2016,1.8947
7/1/2016,2.18687
10/1/2016,2.02608
1/1/2017,2.28649
4/1/2017,2.15478
7/1/2017,3.20091
10/1/2017,3.54564
1/1/2018,2.55189
4/1/2018,3.51384
7/1/2018,2.92616
10/1/2018,1.08976
1/1/2019,3.09614
4/1/2019,2.05587
